visibility,dataset_id,dataset_uid,has_records,features/0,features/1,data_visible,fields/0/name,fields/0/description,fields/0/annotations/facet,fields/0/annotations/sortable,fields/0/annotations/facetsort,fields/0/label,fields/0/type,fields/1/name,fields/1/description,fields/1/label,fields/1/type,fields/2/name,fields/2/description,fields/2/annotations/facet,fields/2/annotations/sortable,fields/2/annotations/disjunctive,fields/2/label,fields/2/type,fields/3/name,fields/3/description,fields/3/label,fields/3/type,fields/4/name,fields/4/description,fields/4/annotations/facet,fields/4/label,fields/4/type,fields/5/name,fields/5/description,fields/5/label,fields/5/type,metas/dcat/created,metas/dcat/issued,metas/dcat/creator,metas/dcat/contributor,metas/dcat/contact_name,metas/dcat/contact_email,metas/dcat/accrualperiodicity,metas/dcat/spatial,metas/dcat/temporal,metas/dcat/granularity,metas/dcat/dataquality,metas/dcat/publisher_type,metas/dcat/conforms_to,metas/dcat/temporal_coverage_start,metas/dcat/temporal_coverage_end,metas/dcat/accessRights,metas/dcat/relation,metas/default/title,metas/default/description,metas/default/theme/0,metas/default/keyword/0,metas/default/keyword/1,metas/default/keyword/2,metas/default/keyword/3,metas/default/keyword/4,metas/default/keyword/5,metas/default/license,metas/default/license_url,metas/default/language,metas/default/metadata_languages/0,metas/default/timezone,metas/default/modified,metas/default/modified_updates_on_metadata_change,metas/default/modified_updates_on_data_change,metas/default/data_processed,metas/default/metadata_processed,metas/default/geographic_reference/0,metas/default/geographic_reference_auto,metas/default/territory/0,metas/default/geometry_types/0,metas/default/bbox/type,metas/default/bbox/geometry/coordinates/0/0/0,metas/default/bbox/geometry/coordinates/0/0/1,metas/default/bbox/geometry/coordinates/0/1/0,metas/default/bbox/geometry/coordinates/0/1/1,metas/default/bbox/geometry/coordinates/0/2/0,metas/default/bbox/geometry/coordinates/0/2/1,metas/default/bbox/geometry/coordinates/0/3/0,metas/default/bbox/geometry/coordinates/0/3/1,metas/default/bbox/geometry/coordinates/0/4/0,metas/default/bbox/geometry/coordinates/0/4/1,metas/default/bbox/geometry/type,metas/default/publisher,metas/default/references,metas/default/records_count,metas/default/attributions,metas/default/source_domain,metas/default/source_domain_title,metas/default/source_domain_address,metas/default/source_dataset,metas/default/shared_catalog,metas/default/federated,metas/default/parent_domain,metas/default/update_frequency,metas/custom/cycle,metas/custom/periodicity,metas/custom/test-meta,fields/0/annotations/disjunctive,fields/1/annotations/facetsort,fields/2/annotations/facetsort,fields/6/name,fields/6/description,fields/6/label,fields/6/type,fields/7/name,fields/7/description,fields/7/label,fields/7/type,fields/8/name,fields/8/description,fields/8/label,fields/8/type,fields/9/name,fields/9/description,fields/9/annotations/facetsort,fields/9/label,fields/9/type,fields/10/name,fields/10/description,fields/10/annotations/facetsort,fields/10/label,fields/10/type,fields/11/name,fields/11/description,fields/11/annotations/facetsort,fields/11/label,fields/11/type,fields/12/name,fields/12/description,fields/12/annotations/facetsort,fields/12/label,fields/12/type,fields/13/name,fields/13/description,fields/13/annotations/facetsort,fields/13/label,fields/13/type,fields/14/name,fields/14/description,fields/14/annotations/facetsort,fields/14/label,fields/14/type,fields/15/name,fields/15/description,fields/15/annotations/facetsort,fields/15/label,fields/15/type,fields/16/name,fields/16/description,fields/16/annotations/facetsort,fields/16/label,fields/16/type,fields/17/name,fields/17/description,fields/17/annotations/facetsort,fields/17/label,fields/17/type,fields/18/name,fields/18/description,fields/18/annotations/facetsort,fields/18/label,fields/18/type,fields/19/name,fields/19/description,fields/19/annotations/facetsort,fields/19/label,fields/19/type,fields/20/name,fields/20/description,fields/20/annotations/facetsort,fields/20/label,fields/20/type,fields/21/name,fields/21/description,fields/21/annotations/facetsort,fields/21/label,fields/21/type,fields/22/name,fields/22/description,fields/22/annotations/facetsort,fields/22/label,fields/22/type,fields/23/name,fields/23/description,fields/23/annotations/facetsort,fields/23/label,fields/23/type,fields/24/name,fields/24/description,fields/24/annotations/facetsort,fields/24/label,fields/24/type,fields/25/name,fields/25/description,fields/25/annotations/facetsort,fields/25/label,fields/25/type,fields/26/name,fields/26/description,fields/26/annotations/facetsort,fields/26/label,fields/26/type,metas/default/geometry_types,metas/default/bbox,attachments/0/id,attachments/0/title,attachments/0/mimetype,attachments/0/url,attachments/1/id,attachments/1/title,attachments/1/mimetype,attachments/1/url,attachments/2/id,attachments/2/title,attachments/2/mimetype,attachments/2/url,attachments/3/id,attachments/3/title,attachments/3/mimetype,attachments/3/url,attachments/4/id,attachments/4/title,attachments/4/mimetype,attachments/4/url,attachments/5/id,attachments/5/title,attachments/5/mimetype,attachments/5/url,attachments/6/id,attachments/6/title,attachments/6/mimetype,attachments/6/url,attachments/7/id,attachments/7/title,attachments/7/mimetype,attachments/7/url,metas/default/theme/1,fields/1/annotations/facet,fields/1/annotations/sortable,fields/0/annotations/timeserie_precision,fields/5/annotations/facetsort,fields/5/annotations/unit,fields/5/annotations/decimals,fields/3/annotations/facetsort,metas/default/metadata_languages
domain,gares-de-voyageurs,da_op82s6,true,analyze,geo,true,nom,,true,true,alphanum,Nom,text,libellecourt,,Trigramme,text,segment_drg,,true,true,true,Segment(s) DRG,text,position_geographique,,Position géographique,geo_point_2d,codeinsee,,true,Code commune,text,codes_uic,,Code(s) UIC,text,,2024-02-21,SNCF Gares&Connexions,SNCF Gares&Connexions,,,daily,,,,,,,,,,,Gares de voyageurs,"<i><b>Une gare</b> est un ensemble de biens fonciers, pour lequel SNCF G&amp;C est affectataire en droit réel de la propriété de l'Etat ou d'un propriétaire tiers, ayant servi, servant ou qui servira à l'interface entre la ville et le train.</i><p></p>

<p class=""MsoNormal"" style=""margin-bottom:0cm;line-height:normal""><span style='font-family:""Calibri"",sans-serif;mso-fareast-font-family:""Times New Roman"";
mso-fareast-language:FR'>Ce jeu de données représente l'ensemble des gares
répondant à la définition ci-dessus.</span></p><p class=""MsoNormal"" style=""margin-bottom:0cm;line-height:normal""><span style='font-family:""Calibri"",sans-serif;mso-fareast-font-family:""Times New Roman"";
mso-fareast-language:FR'><br></span></p><p class=""MsoNormal"" style=""margin-bottom:0cm;line-height:normal""><span style='font-family:""Calibri"",sans-serif;mso-fareast-font-family:""Times New Roman"";
mso-fareast-language:FR'>Les données affichées sont les suivantes :</span></p><ul><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><span style=""font-size: 14px;""><b>Nom </b>: Nom de la gare</span></font></li><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><span style=""font-size: 14px;""><b>Trigramme</b> : Codification de la gare, chaque gare possède un trigramme unique</span></font></li><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><span style=""font-size: 14px;""><b>Segment(s) DRG</b> : segment(s) de la gare associé au document de référence des gares</span></font></li><li><font face=""Calibri, sans-serif""><b>Position géographique</b> : coordonnées géographiques de la gare</font></li><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><b>Code Commune</b> : Le code INSEE de chaque commune est constitué de 5 chiffres, les 2 premiers sont le numéro du département (codé sur 2 chiffres) et les 3 autres chiffres sont un code donné à la commune (codée sur 3 chiffres).</font></li><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><b>Codes(s)
UIC</b> : liste des codes UIC rattachés à la gare <br></font></li></ul><div><font face=""Calibri, sans-serif""><br></font></div>",Gares,Gare de voyageurs,Gares de voyageurs,Gares,gare,Géolocalisation,Code UIC,Open Data Commons Open Database License (ODbL),https://data.sncf.com/pages/licence,fr,fr,,2025-10-20T09:43:06+00:00,false,true,2025-10-20T09:43:06+00:00,2025-10-20T09:43:06.202000+00:00,world_fr,false,France,Point,Feature,8.182681677863002,51.030469997785985,-4.478903068229556,51.030469997785985,-4.478903068229556,42.432406889274716,8.182681677863002,42.432406889274716,8.182681677863002,51.030469997785985,Polygon,Gares & Connexions,,2769,,,,,,,false,,,,Quotidienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain,frequentation-gares,da_z4kzxe,true,analyze,,true,nom_gare,,true,true,,Nom de la gare,text,code_uic_complet,,Code UIC,text,code_postal,,true,,true,Code postal,text,direction_regionale_gares,,Direction Régionale Gares,text,segmentation_drg,,true,Segmentation DRG,text,segmentation_marketing,,Segmentation Marketing,text,2015-12-08,2015-12-08,Gares & Connexions,,,,,,,Gares SNCF,,,,,,,,Fréquentation en gares,"<p class=""MsoNormal"">Ce jeu de données représente la fréquentation annuelle de l’ensemble des 3000 gares voyageurs de 2015 à 2024.</p><p class=""MsoNormal"">Ces informations sont issues d’une part, des données de billetterie pour le trafic national et régional hors Ile-de-France et d’autre part, d’une extrapolation pour le trafic régional Ile-de-France à partir des comptages effectués tous les 3 à 4 ans et publiés par ailleurs en Open Data.</p><p class=""MsoNormal"">A noter, pour les gares n’ayant pas bénéficié de comptage du trafic régional Ile-de-France depuis 2020 en raison de la crise sanitaire, la fréquentation est calculée en relatif par rapport aux évolutions des validations en gare.</p><p class=""MsoNormal"">Une estimation de la proportion de non voyageurs est réalisée à partir des enquêtes en gare. En l’absence d’enquête, un taux par défaut est défini (20% pour les gares a et b hors Ile-de-France et 0% pour les gares b Ile-de-France et c).</p><p class=""MsoNormal"">La méthodologie de calcul se précise année après année avec une reprise de l'historique pouvant expliquer des variations dans les données publiées d'une année sur l'autre. Pour toute question, vous pouvez nous l'adresser au travers du formulaire de contact du portail Open Data.</p><p class=""MsoNormal"">Ces données sont mises à jour annuellement à l'été A+1.</p>",Gares,Fréquentation,Gare de voyageurs,Gares,,,,Open Database License (ODbL),https://data.sncf.com/pages/licence,fr,fr,,2024-09-06T11:40:39+00:00,false,false,2025-07-03T14:13:33+00:00,2025-07-03T14:13:33.993000+00:00,world_fr,true,France,,,,,,,,,,,,,,Gares & Connexions,,3021,,,,,,,false,,,,Annuelle,,true,-count,-count,non_voyageurs,,% Non Voyageurs,double,total_voyageurs_2024,,Total Voyageurs 2024,int,total_voyageurs_non_voyageurs_2024,,Total Voyageurs + Non voyageurs 2024,int,total_voyageurs_2023,,-count,Total Voyageurs 2023,int,total_voyageurs_non_voyageurs_2023,,-count,Total Voyageurs + Non voyageurs 2023,int,total_voyageurs_2022,,-count,Total Voyageurs 2022,int,total_voyageurs_non_voyageurs_2022,,-count,Total Voyageurs + Non voyageurs 2022,int,total_voyageurs_2021,,-count,Total Voyageurs 2021,int,total_voyageurs_non_voyageurs_2021,,-count,Total Voyageurs + Non voyageurs 2021,int,total_voyageurs_2020,,-count,Total Voyageurs 2020,int,total_voyageurs_non_voyageurs_2020,,-count,Total Voyageurs + Non voyageurs 2020,int,total_voyageurs_2019,,-count,Total Voyageurs 2019,int,total_voyageurs_non_voyageurs_2019,,-count,Total Voyageurs + Non voyageurs 2019,int,total_voyageurs_2018,,-count,Total Voyageurs 2018,int,total_voyageurs_non_voyageurs_2018,,-count,Total Voyageurs + Non voyageurs 2018,int,totalvoyageurs2017,,-count,Total Voyageurs 2017,int,total_voyageurs_non_voyageurs_2017,,-count,Total Voyageurs + Non voyageurs 2017,int,total_voyageurs_2016,,-count,Total Voyageurs 2016,int,total_voyageurs_non_voyageurs_2016,,-count,Total Voyageurs + Non voyageurs 2016,int,total_voyageurs_2015,,-count,Total Voyageurs 2015,int,total_voyageurs_non_voyageurs_2015,,-count,Total Voyageurs + Non voyageurs 2015,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain,barometre-client,da_5bm9f1,false,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-12,2015-05-12,Gares & Connexions,,,,Semestriel,,,Gares de France,,,,,,,,Baromètre satisfaction client en gare,"<p>Le<strong> baromètre de satisfaction client</strong> en gare est l’outil principal de mesure de la qualité perçue de SNCF Gares &amp; Connexions. Les clients sont interrogés en face à face en gare et notent la gare de 0 à 10 autour des 7 promesses de service :</p><ul>   <li>Promesse 1 : les informations</li><li>Promesse 2 : les déplacements</li><li>Promesse 3 : la propreté et la      sûreté</li><li>Promesses 4 : le confort de l'attente</li><li>Promesse 5 : les commerces et      les services</li><li>Promesse 6 : l’architecture et les
animations</li><li>Promesse 7 : la mobilité durable</li></ul><ul>   </ul><ul>   </ul><ul>   </ul><ul>   </ul><p>Ces mesures sont réalisées dans les 130 plus grandes gares avec une fréquence de 2 vagues annuelles en mars et en septembre.</p><p><br/></p>",Gares,Satisfaction client,Gare de voyageurs,Service en gare,,,,Open Database License (ODbL),https://data.sncf.com/pages/licence,fr,fr,,2023-06-30T13:00:58+00:00,false,false,,2023-06-30T13:02:15.935000+00:00,world_fr,true,France,,,,,,,,,,,,,,Gares & Connexions,,0,,,,,,,false,,,,Semestrielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsc_mars_2019_xlsx,BSC mars 2019.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://ressources.data.sncf.com/api/explore/v2.1/catalog/datasets/barometre-client/attachments/bsc_mars_2019_xlsx,bsc_sept_2019_xlsx,BSC sept 2019.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://ressources.data.sncf.com/api/explore/v2.1/catalog/datasets/barometre-client/attachments/bsc_sept_2019_xlsx,bsc_sept_2020_xlsx,BSC sept 2020.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://ressources.data.sncf.com/api/explore/v2.1/catalog/datasets/barometre-client/attachments/bsc_sept_2020_xlsx,bsc_mars_2021_xlsx,BSC mars 2021.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://ressources.data.sncf.com/api/explore/v2.1/catalog/datasets/barometre-client/attachments/bsc_mars_2021_xlsx,bsc_sept_2021_xlsx,BSC sept 2021.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://ressources.data.sncf.com/api/explore/v2.1/catalog/datasets/barometre-client/attachments/bsc_sept_2021_xlsx,bsc_sept_2022_xlsx,BSC sept 2022.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://ressources.data.sncf.com/api/explore/v2.1/catalog/datasets/barometre-client/attachments/bsc_sept_2022_xlsx,bsc_mars_2022_xlsx,BSC mars 2022.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://ressources.data.sncf.com/api/explore/v2.1/catalog/datasets/barometre-client/attachments/bsc_mars_2022_xlsx,bsc_mai_2023_xlsx,BSC mai 2023.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://ressources.data.sncf.com/api/explore/v2.1/catalog/datasets/barometre-client/attachments/bsc_mai_2023_xlsx,,,,,,,,,
domain,documents-de-reference-des-gares,da_cp3326,false,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,annuelle,,,,,,,,,,,Documents de Référence des Gares de voyageurs,"<p>Le document de référence des gares de voyageurs (DRG) recense les conditions d’accès aux gares et à aux prestations de SNCF Gares&amp;Connexions pour le service horaire.</p><p>Les différentes versions du DRG sont disponibles sur : <a href=""https://www.garesetconnexions.sncf/fr/transports_ferroviaires"" target=""_blank"">https://www.garesetconnexions.sncf/fr/transports_ferroviaires</a></p>",Gares,Gare de voyageurs,Gares,,,,,Open Database License (ODbL),https://data.sncf.com/pages/licence,fr,fr,,2024-07-10T13:24:04+00:00,true,false,2024-07-10T13:24:10+00:00,2024-07-10T13:24:10.506000+00:00,world_fr,true,France,,,,,,,,,,,,,,Gares & Connexions,,0,,,,,,,false,,,,Annuelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Informations institutionnelles et financières,,,,,,,,
domain,gares-equipees-du-wifi,da_lugy0y,true,analyze,,true,uic,Code UIC de la gare,,,,UIC,text,nom_de_la_gare,Nom de la gare,Gare,text,service_wifi,,true,,,Service Wifi,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gares équipées du wifi,<p>Liste des gares équipées ou non en wifi</p>,Gares,Gares de voyageurs,Gare de voyageurs,wifi,Services en gare,,,Open Database License (ODbL),https://data.sncf.com/pages/licence,fr,fr,,2017-07-04T15:20:24+00:00,false,true,2017-07-04T15:20:24+00:00,2020-06-11T09:59:31.142000+00:00,world_fr,true,France,,,,,,,,,,,,,,Gares & Connexions,,2997,,,,,,,false,,,,,,,alphanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital et innovation,true,true,,,,,,
domain,proprete-en-gare,da_iwabrc,true,timeserie,analyze,true,mois,,true,,-alphanum,Mois,date,uic,,UIC,text,nom_gare,,true,true,,Nom gare,text,nombre_de_non_conformites,,Nombre de non-conformités,int,nombre_d_observations,,,Nombre d'observations,int,taux_de_conformite,,Taux de conformité,double,,,,,,,,,,,,,,,,,,Contrôles de propreté en gare,"<p>Ce jeu de données informe sur le niveau de propreté des gares. </p><p><strong>La propreté des gares est un enjeu fort pour SNCF. En vue de satisfaire les clients, SNCF réalise, conjointement avec le prestataire, des contrôles de conformité de la prestation de nettoyage, dont la fréquence varie en fonction de l’importance de la gare. Ces contrôles reposent sur la réalisation d’observations dans différentes zones de la gare abord, accès, hall, quais, … et sur différents supports (vitres, sols, signalétique). L’obligation de résultat est fixée à 90% de conformité minimum. En deçà, des actions correctives sont déclenchées rapidement et s’inscrivent dans une démarche d’amélioration continue.</strong></p><p>Pour chaque gare, une ligne du jeu de données correspond à un ensemble mensuel de contrôles de propreté effectués suite au passage et actions des prestataires de nettoyage. Pour chaque mois sont indiqués le nombre d'observations total et le nombre d'observations non-conformes aux attendus dans la gare concernée.  </p><p>Le taux de conformité se calcule par l'opération (nb d’observations – nb de non-conformités)/(nb d’observations).</p>",Gares,Propreté,Gares,Services en gare,,,,Open Database License (ODbL),https://data.sncf.com/pages/licence,fr,fr,,2025-10-01T22:00:46+00:00,false,true,2025-10-01T22:00:46+00:00,2025-10-01T22:00:46.237000+00:00,world_fr,true,France,,,,,,,,,,,,,,Gares & Connexions,,75854,,,,,,,false,,,,Mensuelle,,,-count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Propreté,,,month,-count,%,1,,
domain,service-d-attente-en-gare-api,da_c35eqo,true,analyze,,true,serviceattente,,,,,Service attente,text,gare,,Gare,text,trigramme,,,,,Trigramme,text,longitude,,longitude,double,latitude,,,latitude,double,,,,,,,,,,,,,,,,,,,,,,Service d'attente en gare,"<p class=""MsoNormal"">Ce jeu de données présente, pour chaque gare, les services
suivants mis à disposition : <o:p></o:p></p><p class="""" style=""font-family: sans-serif;"">

</p><ul style=""margin-top:0cm"" type=""disc"">
 <li class=""MsoNormal"">Pianos
     en libre-service,<o:p></o:p></li>
 <li class=""MsoNormal"">Babyfoot,<o:p></o:p></li>
 <li class=""MsoNormal"">Distributeurs
     d'histoires courtes,<o:p></o:p></li>
 <li class=""MsoNormal"">Power
     &amp; Station (vélos pour recharger son smartphone ou sa tablette),</li>
 <li class=""MsoNormal"">Playing
     Wall (jukebox digital).<o:p></o:p></li>
</ul>",Services gare,Services en gare,Loisirs,Gare de voyageurs,,,,,,fr,fr,,2025-09-29T16:00:20+00:00,false,true,2025-09-29T16:00:20+00:00,2025-10-21T08:00:22.812000+00:00,world_fr,true,France,,,,,,,,,,,,,,Gares & Connexions,,263,,,,,,,false,,DAILY,,Quotidienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain,accompagnement-pmr-gares,da_e5bymm,true,timeserie,analyze,true,datemensuel,,true,,-count,Date/Mensuel,date,uic,,Code UIC,text,gare,,true,true,,Nom de la gare,text,assistance_simple,,Assistance simple,int,rampe,,,Rampe,int,fauteuil,,Fauteuil,int,2015-02-17,2015-02-17,,,,,Mensuelle,,Depuis 2015,Par accompagnement,,,,,,,,Accompagnement de personnes à mobilité réduite dans les gares,<p>Ces données fournissent le nombre d'accompagnements de personnes à mobilité réduite dans les gares depuis 2015.</p>,Gares,Accessibilité,Gare de voyageurs,,,,,Open Database License (ODbL),https://data.sncf.com/pages/licence,fr,fr,,2022-03-23T10:13:39+00:00,false,true,2022-03-23T10:13:39+00:00,2022-03-23T10:13:39.570000+00:00,world_fr,true,France,,,,,,,,,,,,,,Gares & Connexions,,51861,,,,,,,false,,,,Mensuelle,,,,alphanum,rampe_fauteuil,,Rampe et  fauteuil,int,total,,Total,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Services voyageurs,,,month,,,,,
domain,equipements-accessibilite-en-gares,da_6n5mfh,true,,,true,uic,,,,-count,UIC,text,nom_de_la_gare,,Nom de la gare,text,adresse,,,,,Adresse,text,codepostal,,CodePostal,text,ville,,,Ville,text,accessibilite,,Accessibilité,text,,,,,,,,,,,,,,,,,,Equipements d’accessibilité en gare,"<p class=""MsoNormal""><span style=""font-size: 12pt; font-family: Arial, sans-serif; color: rgb(62, 62, 64); background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Liste des équipements d’accessibilité recensés
dans les gares SNCF pour améliorer l’accessibilité des clients.<u5:p></u5:p></span><o:p></o:p></p><p>



<u5:p></u5:p><u5:p></u5:p></p><p class=""MsoNormal""><span style='font-size:12.0pt;font-family:""Arial"",sans-serif;
color:#3E3E40;background:white'>Cette liste est mise à jour au fur et à mesure.
Ces informations ne sont donc pas encore disponibles pour toutes les gares.</span><o:p></o:p></p>",Equipements et services en gares,Gares,Accessibilité,Equipement,,,,Open Database License (ODbL),https://data.sncf.com/pages/cgu/A1#A1,,,,2021-12-21T08:23:03+00:00,false,false,2021-12-16T15:35:52+00:00,2021-12-21T08:27:24.048000+00:00,world_fr,true,France,,,,,,,,,,,,,,Gares & Connexions,,1717,,,,,,,false,,,,Irrégulière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gares,,,,,,,-count,
domain,horaires-des-gares1,da_9oo5g5,true,analyze,,true,uic,"Code UIC de la gare
Identifiant unique",,,,﻿UIC,text,nom_normal,Nom de la gare,Gare,text,jour,,true,,,Jour de la semaine,text,horaire_normal,,Horaire en jour normal,text,horaire_ferie,,,Horaire en jour férié,text,,,,,,,,,,,,,,,,,,,,,,Horaires des gares,"<p>Ce jeu de données contient les horaires d'ouverture au public des gares de voyageurs en France.</p><p>Chaque gare est identifiée dans la colonne ""UIC"" par son code UIC (identifiant unique).</p><p> Les horaires sont mentionnés pour chaque jour de la semaine dans la colonne ""Horaire en jour normal"". </p><p>Si, pour certains jours, les horaires varient dans le cas d'un jour férié mais que la gare reste ouverte, ses horaires sont renseignés dans la colonne ""Horaire en jour férié"". </p>",Gares,Gares,Gares de voyageurs,Gare de voyageurs,Horaires,Horaire,,Open Database License (ODbL),https://data.sncf.com/pages/licence,fr,fr,,2024-03-15T13:04:58+00:00,false,false,2024-03-15T13:04:53+00:00,2024-03-15T13:05:04.004000+00:00,world_fr,true,France,,,,,,,,,,,,,,Gares & Connexions,https://www.gares-sncf.com/fr,6517,,,,,,,false,,,,Irrégulière,,,alphanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horaires et itinéraires,true,true,,,,,-count,
